index,player_name,salary,age,games_played,minutes_played,field_goal_percent,three_point_percent,two_point_percent,effective_field_goal,free_throw_percent,total_rebounds,assist,steal,blocking,points
142,Lou Williams,7000000,31,79.00,2589.00,0.44,0.36,0.48,0.51,0.88,198.00,417.00,85.00,19.00,1782.00
143,Kyle Korver,7000000,36,73.00,1574.00,0.46,0.44,0.54,0.63,0.89,165.00,88.00,31.00,27.00,672.00
144,Jeremy Lamb,7000000,25,80.00,1967.00,0.46,0.37,0.50,0.51,0.86,324.00,186.00,61.00,32.00,1033.00
145,Jae Crowder,6796117,27,53.33,1393.33,0.40,0.32,0.49,0.48,0.81,183.33,66.00,42.67,14.00,515.33
146,Jabari Parker,6782392,22,31.00,743.00,0.48,0.38,0.51,0.53,0.74,151.00,59.00,25.00,10.00,391.00
147,Langston Galloway,6666667,26,58.00,863.00,0.37,0.34,0.42,0.48,0.81,92.00,58.00,35.00,5.00,360.00
148,Lance Thomas,6655325,29,73.00,1353.00,0.38,0.40,0.36,0.48,0.83,175.00,44.00,30.00,14.00,298.00
149,Ed Davis,6352531,28,78.00,1471.00,0.58,0.00,0.58,0.58,0.67,575.00,40.00,32.00,52.00,414.00
150,Marco Belinelli,6306060,31,53.33,1298.00,0.45,0.38,0.53,0.55,0.90,100.67,98.67,44.00,8.00,647.33
152,Jonathon Simmons,6300000,28,69.00,2029.00,0.47,0.34,0.51,0.51,0.77,239.00,171.00,58.00,16.00,962.00
153,Lonzo Ball,6286560,20,52.00,1780.00,0.36,0.31,0.42,0.44,0.45,360.00,376.00,88.00,43.00,528.00
154,Wayne Ellington,6270000,30,77.00,2041.00,0.41,0.39,0.48,0.57,0.86,218.00,79.00,53.00,8.00,864.00
155,Isaiah Thomas,6261395,28,21.33,574.67,0.37,0.29,0.44,0.44,0.89,44.67,102.00,10.00,2.00,324.00
156,Karl-Anthony Towns,6216840,22,82.00,2918.00,0.55,0.42,0.59,0.60,0.86,1012.00,199.00,64.00,115.00,1743.00
